k,kmeans_inertia,kmeans_silhouette,ward_silhouette
2,25796.234542830643,0.24472347731059277,0.19685691470369973
3,22897.471095760484,0.1486949006853789,0.15122485943353262
4,20629.70750956087,0.13730447638609133,0.09398219386867716
5,19303.24043765635,0.1299610805167628,0.097768069364277
6,18301.190332529935,0.11107795005572814,0.10049773232546973
7,17560.6954264682,0.10840214601320669,0.0840667069505841
8,16942.515834042315,0.10775245729121649,0.07850174792199607
9,16434.90275258861,0.1011043348677523,0.06818621854690426
10,15990.194862206812,0.09627707102510283,0.07058503729529464
